Id,Title,URL,Date,Description,Categories,Image URL,Source
15,"Rodrigo Quian Quiroga, neurocientífico: “El olvido es la característica esencial de la inteligencia”",,No Publication Date,"El investigador, descubridor de las ‘neuronas de Jennifer Aniston’, advierte de que la inteligencia artificial “está lejísimos de acercarse” a la humana, pero no es imposible que la alcance","['Salud', 'Neurología', 'Neurociencia', 'Neuronas', 'Neurotecnología', 'Ciencia ficción', 'Ciencia', 'Filosofía', 'Memoria']",,El País
16,Biden gana con holgura las primarias de Nevada ,,No Publication Date,El presidente obtiene el 88% de los votos en la tercera parada de las elecciones internas. Nikki Haley ha sido derrotada por la opción de “ninguno de los anteriores“ en la contienda republicana,"['Elecciones EE UU', 'Joseph Biden', 'Partido Demócrata EE UU', 'Nevada (Estados Unidos)', 'Las Vegas', 'Elecciones', 'Donald Trump']",,El País
17,La expresidenta del PRI Claudia Ruiz Massieu encabeza la lista de plurinominales de Movimiento Ciudadano,,No Publication Date,"El partido naranja deja fuera a cuadros del partido para hacer sitio a nuevos fichajes, como la expresidenta del PRD Alejandra Barrales o el empresario Gustavo de Hoyos, impulsor de la plataforma opositora Va por México","['México', 'América', 'Latinoamérica', 'Elecciones México', 'Elecciones México 2024', 'Movimiento Ciudadano', 'Jorge Álvarez Máynez', 'Claudia Ruiz Massieu', 'Dante Delgado', 'Congreso Diputados', 'Senado', 'INE México']",,El País
18,Daniel Pérez (l’Energètica): “Es incongruente ser potencia verde y tener pocos coches eléctricos”,,No Publication Date,El divulgador y experto en energías verdes subraya la histórica oportunidad de España de liderar la transición hacia las renovables y así reindustrializarse,"['Economía', 'Energía', 'Energía eólica', 'Energía eólica marina', 'Energías renovables', 'Energía solar', 'Vehículos eléctricos', 'Petróleo', 'Hidrógeno verde', 'Paneles solares', 'Coches eléctricos']",,El País
19,En los chats donde se cuecen las protestas de los agricultores: “Nuestro objetivo es paralizar Madrid” ,,No Publication Date,Las manifestaciones de este martes se han gestado en grupos de Telegram y WhatsApp en los que se apunta a la plataforma 6F como la impulsora de las marchas,"['Economía', 'Agricultura', 'Protestas sociales', 'Tractorada', 'Ganadería', 'Manifestaciones', 'Empresas', 'Telegram', 'WhatsApp', 'Inflación']",,El País
20,Las renovables y la menor demanda hunden el peso del gas y carbón en el ‘mix’ eléctrico europeo,,No Publication Date,El estirón de la producción fósil por la crisis energética queda atrás: la eólica y la solar ya generan más de la cuarta parte de la electricidad y laminan las emisiones,"['Economía', 'Energía eléctrica', 'Emisión gases', 'Gas natural', 'Carbón', 'Europa', 'Unión Europea', 'Crisis energética']",,El País
21,Trabajo regularizó a 10.000 empleados por empresas de trabajo temporal en 2023,,No Publication Date,"Inspección detectó irregularidades en el 22% de las relaciones laborales investigadas, según datos a los que ha tenido acceso EL PAÍS. Los empleados vía ETT cayeron un 14% respecto a 2022","['Economía', 'Trabajo', 'Empleo', 'Empresas trabajo temporal', 'Precariedad laboral', 'Ministerio de Trabajo y Economía Social', 'Inspecciones trabajo']",,El País
22,¿Se ha visto afectado por el cierre de Centros Ideal? Los expertos le aconsejan qué debe hacer para reclamar su dinero,,No Publication Date,La clausura repentina de la cadena de estética afecta a muchos clientes que habían financiado sus tratamientos o pagado por adelantado sesiones que no usarán,"['Ideal', 'Consumo', 'Economía', 'Negocios', 'Estética corporal', 'Franquicias', 'Depilación laser', 'Estafas', 'Denuncias', 'Consumidores']",,El País
23,El PP centra sus expectativas contra la amnistía en la Comisión de Venecia,,No Publication Date,Los populares dejan en el aire la petición de comparecer en el Senado al comisario de Justicia Reynders,"['España', 'Amnistía', 'PP', 'Didier Reynders', 'Senado', 'Pedro Rollán Ojeda (PP)', 'Congreso Diputados', 'Unión Europea', 'Alberto Núñez Feijóo', 'Investidura parlamentaria Alberto Núñez Feijóo 2023', 'Investidura parlamentaria Pedro Sánchez 2023']",,El País
24,El debate y la demoscopia animan a la izquierda en la batalla gallega,,No Publication Date,"Las expectativas se disparan en el BNG, cuya candidata, Ana Pontón, es aprobada incluso por el 40% de los votantes del PP","['Elecciones Gallegas', 'Elecciones autonómicas', 'Xunta Galicia', 'Elecciones', 'Galicia', 'Partidos políticos', 'PP', 'Alfonso Rueda', 'BNG', 'Ana Pontón', 'TVG', 'Debates electorales', 'PSdeG-PSOE', 'José Ramón Gómez Besteiro', 'Sumar', 'Marta Lois', 'CIS', 'José Luis Rodríguez Zapatero']",,El País
