titulo,subtitulo,autor,texto,url,fecha,categoria
Urkullu adelanta las elecciones vascas al 21 de abril y defiende el pacto con el PSE,Serán las últimas de la generación que hizo política cuando existía ETA,Autor no encontrado,"Iñigo Urkullu despejó ayer las últimas dudas y  anunció que 21 de abril serán las próximas  elecciones vascas . Era la fecha esperada por todos, por descarte de las demás, y con la anécdota de que es el cumpleaños de Imanol Pradales, el candidato del PNV.",https://www.lavozdeasturias.es/noticia/actualidad/2024/02/22/urkullu-anunciara-tarde-fecha-elecciones-vascas/00031708598485715589461.htm,22 Feb 2024,Íñigo Urkullu
"Sumar acusa de «machismo» a Vox por un comentario contra una diputada por Pontevedra: «Madre mía, la chavala, nos lo vamos a pasar bien»","Vox afirma que su diputado, David García Gomís, no pronunció esas palabras y afirman que este reproche es «una nueva maniobra de la izquierda»",Autor no encontrado,"Sumar  ha denunciado un  presunto comentario «machista»  por parte del diputado de  Vox ,  David García Gomís , hacia la diputada del grupo plurinacional Verónica Martínez Barbero durante la sesión de la comisión de Trabajo en el Congreso, algo que ha negado tajantemente este parlamentario.",https://www.lavozdeasturias.es/noticia/actualidad/2024/02/22/sumaracusa-machismo-vox-comentario-contra-diputada-pontevedra-madre-chavala-vamos-pasar-bien/00031708622506038646369.htm,22 Feb 2024,Sumar
El incendio de un edificio de Valencia deja 4 muertos y 19 desaparecidos,14 personas resultaron heridas. Las llamas se iniciaron en un piso que se encontraba vacío en ese momento,Autor no encontrado,"Un fulminante y  devastador incendio en un edificio de viviendas de catorce plantas en Valencia , que se ha propagado a otro anexo, ha causado este jueves  al menos cuatro muertos y 14 heridos , entre ellos seis bomberos.  Los servicios de emergencia buscan a 19 desaparecidos.",https://www.lavozdeasturias.es/noticia/actualidad/2024/02/22/cuatro-muertos-15-heridos-incendio-edificio-dos-torres-valencia/00031708623880322677596.htm,23 Feb 2024,Valencia
Dramático rescate de una joven pareja atrapada en un balcón en el edificio en llamas en Valencia,Se trata de un hombre y una mujer que esperaban ser rescatados desde el balcón mientras a su alrededor avanzaban las llamas y el humo,Autor no encontrado,"Los bomberos consiguieron rescatar una pareja que se había refugiado en el balcón de una vivienda  del edificio de Valencia devorado por las llamas , lo que provocó los  aplausos de la gente que seguía los trabajos de emergencia  en los alrededores de la zona, informa Efe.",https://www.lavozdeasturias.es/noticia/actualidad/2024/02/22/aplausos-tras-rescate-joven-pareja-atrapada-balcon-edificio-llamas-valencia/00031708629574472273712.htm,23 Feb 2024,Categoría no encontrada
"El presidente del Parlamento británico, al borde de la renuncia por su gestión de una moción sobre Gaza",Casi 60 diputados han pedido la dimisión de Lindsay Hoyle después del caos en la sesión del miércoles,Autor no encontrado,"La operación militar israelí contra Hamás podría cobrarse una nueva víctima, pero esta vez en Londres, a miles de kilómetros de la Franja de Gaza. Unos 60 diputados británicos han pedido al presidente de la Cámara de los Comunes,  Lindsay Hoyle , que dimita por el caos que desató en la sesión del miércoles, cuando permitió que el Parlamento debatiera una  moción laborista que pedía un «alto el fuego humanitario» en Gaza . La decisión iba en contra de las normas que regulan al Legislativo, las cuales no permiten que dos propuestas similares presentadas por la oposición sean debatidas el mismo día. Y el miércoles  ya figuraba en agenda una moción similar del independentista Partido Nacional Escocés  (SNP, por sus siglas en inglés).",https://www.lavozdeasturias.es/noticia/actualidad/2024/02/22/presidente-parlamento-britanico-borde-renuncia-mocion-sobre-gaza/00031708630109272447551.htm,22 Feb 2024,Gaza
Venezuela desata una crisis bilateral al secuestrar a un militar opositor en Chile,"Sus captores, presuntamente la Dirección de Contrainteligencia Militar venezolana, se habrían hecho pasar por agentes de la policía chilena",Autor no encontrado,"El Gobierno de Chile «no descarta ninguna hipótesis»  en relación al secuestro del militar venezolano  Ronald Ojeda , refugiado en el país desde el 2017. Así lo aseguró ayer el subsecretario del Ministerio del Interior chileno, Manuel Monsalve, por segundo día consecutivo. El militar fue  secuestrado en Santiago , la capital del Estado, en la madrugada del pasado martes.",https://www.lavozdeasturias.es/noticia/actualidad/2024/02/23/acusan-maduro-secuestrar-militar-venezolano-exiliado-chile/0003_202402G23P20993.htm,23 Feb 2024,Chile
"Feijoo saca pecho por el 18F y desafía a Sánchez por el «plebiscito» de su liderazgo: «Aquí me tiene, de pie»","El presidente del Gobierno pide al jefe de la oposición, en referencia a la ley de amnistía, que «diga a los ciudadanos lo que dice en privado a 16 periodistas»",Pablo Medina,"El líder del PP,  Alberto Núñez Feijoo , y el presidente del Gobierno,  Pedro Sánchez , han vuelto a cruzarse en el Congreso en una sesión de control agitada por las  elecciones gallegas . El resultado de los comicios, que acabó en debacle para los socialistas, le aseguró a Feijoo poder esgrimir que el «plebiscito» por su liderazgo resultó en positivo frente a un Partido Socialista convertido en «bisagra de los independentistas»:  «El resultado es de 40 a 9. Aquí me tiene, de pie» , dijo el jefe de la oposición.",https://www.lavozdeasturias.es/noticia/actualidad/2024/02/21/feijoo-saca-pecho-18f-desafia-sanchez-plebiscito-liderazgo-me-pie/00031708502211459890402.htm,21 Feb 2024,Alberto Núñez Feijoo
Detienen a la mano derecha del exministro Ábalos por un supuesto fraude en la compra de mascarillas,"La investigación de un juzgado de la Audiencia Nacional, que suma 20 arrestados y 26 registros en ocho provincias, se centra en la adjudicación de contratos de diferentes administraciones por valor de 53 millones. «Estoy estupefacto y muy decepcionado», señala el exjefe de Fomento",Autor no encontrado,"Agentes de la Guardia Civil detuvieron este miércoles a  Koldo García ,  mano derecha de José Luis Ábalos  y asesor del político socialista en su etapa como ministro de Fomento (2018-2021), según fuentes cercanas al caso. La investigación, a cargo de la Unidad Central Operativa (UCO) de la Guardia Civil, está dirigida por el Juzgado Central de Instrucción número dos de la Audiencia Nacional y por la Fiscalía Anticorrupción, que indagan las  supuestas comisiones ilegales en la compra de mascarillas  y otros materiales de protección sanitaria por parte de la administración central y dos gobiernos autonómicos durante la pandemia.",https://www.lavozdeasturias.es/noticia/actualidad/2024/02/21/guardia-civil-detiene-asesor-exministro-jose-luis-abalos-presunta-corrupcion-compra-mascarillas/00031708514433486651930.htm,22 Feb 2024,José Luis Ábalos
Elecciones en el País Vasco: primer test serio para el futuro de la legislatura,El PSOE podría tener que elegir entre el PNV y Bildu,Francisco Espiñeira,"Las elecciones vascas serán el segundo test en las urnas para el PSOE de Pedro Sánchez apenas cinco meses después de la investidura. Como en Galicia los socialistas vascos solo aspiran al tercer puesto, por detrás de Bildu y el PNV. La diferencia con el 18F es que en el caso de Ajuria Enea, el PSE será el encargado de ejercer de árbitro entre los independentistas de derechas y de izquierdas para decantar, con su voto, la titularidad del próximo lendakari entre Imanol Pradales y Pello Otxandiano, que son los únicos aspirantes con posibilidades de relevar al saliente, Íñigo Urkullu.",https://www.lavozdeasturias.es/noticia/actualidad/2024/02/23/urkullu-adelanta-elecciones-vascas-21-abril-defiende-pacto-pseprimer-test-serio-futuro-legislaturala-fiscalia-recurre-archivo-causa-muneco-apaleado-ferrazel-congreso-avala-carmen-calvo-presidenta-consejo-estado/0003_202402G23P17991.htm,23 Feb 2024,Íñigo Urkullu
Ikea logra un beneficio récord de 148 millones en 2023 e invierte 90 en reducir precios en España,Supera ya los 10.000 empleados en el país,Autor no encontrado,"Ikea  registró un  beneficio neto histórico de 148 millones de euros en España  durante su ejercicio fiscal 2023, cerrado el 31 de agosto, lo que supone un  incremento del 68 %  respecto al año anterior, según ha avanzado el consejero delegado de  Ikea  en España, Nurettin Acar. En concreto, la multinacional sueca cerró el pasado ejercicio con una facturación de 1.954 millones de euros, lo que supone un 7,4 % más, mientras que el área de 'food' se elevó hasta los 71 millones de euros, frente a los 62 millones de euros registrados en 2022.",https://www.lavozdeasturias.es/noticia/actualidad/2024/02/21/ikea-logra-beneficio-record-148-millones-2023-invierte-90-millones-reducir-precios-espana/00031708515938976323573.htm,21 Feb 2024,Ikea
